# currency: EUR
Name,Set,Finish,Code,NM,NM Source,SP/LP,SP/LP Source,MP,MP Source,HP,HP Source,Trend,Trend Source
Pack Hunt (Red),cm-expansion-4477,normal,,1.48,low,,,,,,,1.24,trend
Pack Hunt (Yellow),cm-expansion-4477,normal,,1.44,low,,,,,,,1.66,trend
Potion of Strength,cm-expansion-4477,normal,,1.3,low,,,,,,,0.02,trend
Pounding Gale,cm-expansion-4477,normal,,9.99,low,,,,,,,11.16,trend
Primeval Bellow (Blue),cm-expansion-4477,normal,,0.43,low,,,,,,,0.02,trend
Primeval Bellow (Red),cm-expansion-4477,normal,,0.82,low,,,,,,,0.92,trend
Primeval Bellow (Yellow),cm-expansion-4477,normal,,0.58,low,,,,,,,0.46,trend
Pummel (Blue),cm-expansion-4477,normal,,1,low,,,,,,,1.25,trend
Pummel (Red),cm-expansion-4477,normal,,6.96,low,,,,,,,5.97,trend
Pummel (Yellow),cm-expansion-4477,normal,,1.04,low,,,,,,,0.64,trend
Raging Onslaught (Blue),cm-expansion-4477,normal,,0.44,low,,,,,,,0.39,trend
Raging Onslaught (Red),cm-expansion-4477,normal,,0.93,low,,,,,,,0.89,trend
Raging Onslaught (Yellow),cm-expansion-4477,normal,,0.39,low,,,,,,,0.23,trend
Razor Reflex (Blue),cm-expansion-4477,normal,,0.49,low,,,,,,,0.59,trend
Razor Reflex (Red),cm-expansion-4477,normal,,2.24,low,,,,,,,1.18,trend
Razor Reflex (Yellow),cm-expansion-4477,normal,,0.84,low,,,,,,,1.6,trend
Reckless Swing,cm-expansion-4477,normal,,5.95,low,,,,,,,3.98,trend
Refraction Bolters,cm-expansion-4477,normal,,0.4,low,,,,,,,0.39,trend
Regurgitating Slog (Blue),cm-expansion-4477,normal,,0.32,low,,,,,,,0.39,trend
Regurgitating Slog (Red),cm-expansion-4477,normal,,0.69,low,,,,,,,1.24,trend
Regurgitating Slog (Yellow),cm-expansion-4477,normal,,0.15,low,,,,,,,0.02,trend
Remembrance,cm-expansion-4477,normal,,22.99,low,,,,,,,11.3,trend
Rhinar // Bravo,cm-expansion-4477,normal,,0.84,low,,,,,,,1.34,trend
Rhinar // Dorinthea,cm-expansion-4477,normal,,0.84,low,,,,,,,1.81,trend
Rhinar // Harmonized Kodachi,cm-expansion-4477,normal,,0.82,low,,,,,,,1.6,trend
"Rhinar, Reckless Rampage // Harmonized Kodachi",cm-expansion-4477,normal,,0.93,low,,,,,,,2.2,trend
"Rhinar, Reckless Rampage // Rhinar",cm-expansion-4477,normal,,,,,,,,,,6,trend
Rising Knee Thrust (Blue),cm-expansion-4477,normal,,0.33,low,,,,,,,0.94,trend
Rising Knee Thrust (Red),cm-expansion-4477,normal,,1.72,low,,,,,,,2.18,trend
Rising Knee Thrust (Yellow),cm-expansion-4477,normal,,0.64,low,,,,,,,0.97,trend
Romping Club // Bravo,cm-expansion-4477,normal,,0.97,low,,,,,,,1.11,trend
Romping Club // Dawnblade,cm-expansion-4477,normal,,,,,,,,,,,
"Romping Club // Katsu, the Wanderer",cm-expansion-4477,normal,,1.7,low,,,,,,,2.54,trend
Romping Club // Quicken,cm-expansion-4477,normal,,0.74,low,,,,,,,1.39,trend
Rout,cm-expansion-4477,normal,,10.76,low,,,,,,,15.3,trend
Sand Sketched Plan,cm-expansion-4477,normal,,9,low,,,,,,,12.65,trend
Savage Feast (Blue),cm-expansion-4477,normal,,1.73,low,,,,,,,2.48,trend
Savage Feast (Red),cm-expansion-4477,normal,,2.67,low,,,,,,,3.66,trend
Savage Feast (Yellow),cm-expansion-4477,normal,,0.48,low,,,,,,,1.27,trend
Savage Swing (Blue),cm-expansion-4477,normal,,0.36,low,,,,,,,0.02,trend
Savage Swing (Red),cm-expansion-4477,normal,,0.74,low,,,,,,,0.9,trend
Savage Swing (Yellow),cm-expansion-4477,normal,,0.22,low,,,,,,,0.02,trend
Scabskin Leathers,cm-expansion-4477,normal,,849.99,low,,,,,,,963.27,trend
Scar for a Scar (Blue),cm-expansion-4477,normal,,0.25,low,,,,,,,0.17,trend
Scar for a Scar (Red),cm-expansion-4477,normal,,0.81,low,,,,,,,1.46,trend
Scar for a Scar (Yellow),cm-expansion-4477,normal,,1.84,low,,,,,,,0.23,trend
Scour the Battlescape (Blue),cm-expansion-4477,normal,,0.45,low,,,,,,,0.54,trend
Scour the Battlescape (Red),cm-expansion-4477,normal,,0.95,low,,,,,,,0.44,trend
Scour the Battlescape (Yellow),cm-expansion-4477,normal,,0.32,low,,,,,,,0.27,trend
Seismic Surge // Harmonized Kodachi,cm-expansion-4477,normal,,1.72,low,,,,,,,2.25,trend
Seismic Surge // Quicken,cm-expansion-4477,normal,,10,low,,,,,,,,
Sharpen Steel (Blue),cm-expansion-4477,normal,,0.57,low,,,,,,,0.33,trend
Sharpen Steel (Red),cm-expansion-4477,normal,,1.39,low,,,,,,,1.78,trend
Sharpen Steel (Yellow),cm-expansion-4477,normal,,0.49,low,,,,,,,0.48,trend
Show Time!,cm-expansion-4477,normal,,8.89,low,,,,,,,5.04,trend
Sigil of Solace (Blue),cm-expansion-4477,normal,,1.95,low,,,,,,,0.83,trend
Sigil of Solace (Red),cm-expansion-4477,normal,,6.89,low,,,,,,,9.85,trend
Sigil of Solace (Yellow),cm-expansion-4477,normal,,0.97,low,,,,,,,1.49,trend
Singing Steelblade,cm-expansion-4477,normal,,4.99,low,,,,,,,8.68,trend
Sink Below (Blue),cm-expansion-4477,normal,,0.75,low,,,,,,,0.62,trend
Sink Below (Red),cm-expansion-4477,normal,,18.99,low,,,,,,,20.92,trend
Sink Below (Yellow),cm-expansion-4477,normal,,0.53,low,,,,,,,0.59,trend
Sloggism (Blue),cm-expansion-4477,normal,,0.26,low,,,,,,,0.24,trend
Sloggism (Red),cm-expansion-4477,normal,,1.29,low,,,,,,,0.95,trend
Sloggism (Yellow),cm-expansion-4477,normal,,0.39,low,,,,,,,0.02,trend
Smash Instinct (Blue),cm-expansion-4477,normal,,0.35,low,,,,,,,0.41,trend
Smash Instinct (Red),cm-expansion-4477,normal,,1.34,low,,,,,,,1.04,trend
Smash Instinct (Yellow),cm-expansion-4477,normal,,0.37,low,,,,,,,0.14,trend
Snapdragon Scalers,cm-expansion-4477,normal,,0.92,low,,,,,,,0.97,trend
Snatch (Blue),cm-expansion-4477,normal,,2.99,low,,,,,,,4.06,trend
Snatch (Red),cm-expansion-4477,normal,,9.39,low,,,,,,,9.54,trend
Snatch (Yellow),cm-expansion-4477,normal,,2.25,low,,,,,,,1.95,trend
Spinal Crush,cm-expansion-4477,normal,,34.44,low,,,,,,,28.51,trend
Staunch Response (Blue),cm-expansion-4477,normal,,1.36,low,,,,,,,1.33,trend
Staunch Response (Red),cm-expansion-4477,normal,,5.39,low,,,,,,,5.5,trend
Staunch Response (Yellow),cm-expansion-4477,normal,,2.64,low,,,,,,,2.82,trend
Steelblade Shunt (Blue),cm-expansion-4477,normal,,0.45,low,,,,,,,0.85,trend
Steelblade Shunt (Red),cm-expansion-4477,normal,,4.48,low,,,,,,,5.55,trend
Steelblade Shunt (Yellow),cm-expansion-4477,normal,,0.45,low,,,,,,,0.36,trend
Steelblade Supremacy,cm-expansion-4477,normal,,9.99,low,,,,,,,16.21,trend
Stonewall Confidence (Blue),cm-expansion-4477,normal,,0.39,low,,,,,,,0.43,trend
Stonewall Confidence (Red),cm-expansion-4477,normal,,0.4,low,,,,,,,0.03,trend
Stonewall Confidence (Yellow),cm-expansion-4477,normal,,0.44,low,,,,,,,0.13,trend
Stroke of Foresight (Blue),cm-expansion-4477,normal,,0.89,low,,,,,,,0.2,trend
Stroke of Foresight (Red),cm-expansion-4477,normal,,0.45,low,,,,,,,1.04,trend
Stroke of Foresight (Yellow),cm-expansion-4477,normal,,0.16,low,,,,,,,0.3,trend
Surging Strike (Blue),cm-expansion-4477,normal,,0.33,low,,,,,,,0.43,trend
Surging Strike (Red),cm-expansion-4477,normal,,2.99,low,,,,,,,3.12,trend
Surging Strike (Yellow),cm-expansion-4477,normal,,0.68,low,,,,,,,0.95,trend
Tectonic Plating,cm-expansion-4477,normal,,1100,low,,,,,,,983.28,trend
Timesnap Potion,cm-expansion-4477,normal,,2.2,low,,,,,,,0.02,trend
Tome of Fyendal,cm-expansion-4477,normal,,9.99,low,,,,,,,17.97,trend
Unmovable (Blue),cm-expansion-4477,normal,,0.19,low,,,,,,,0.02,trend
Unmovable (Red),cm-expansion-4477,normal,,2.05,low,,,,,,,1.54,trend
Unmovable (Yellow),cm-expansion-4477,normal,,0.82,low,,,,,,,0.1,trend
Warrior's Valor (Blue),cm-expansion-4477,normal,,3.95,low,,,,,,,3.95,trend
Warrior's Valor (Red),cm-expansion-4477,normal,,1.8,low,,,,,,,7.11,trend
Warrior's Valor (Yellow),cm-expansion-4477,normal,,0.4,low,,,,,,,0.9,trend
Whelming Gustwave (Blue),cm-expansion-4477,normal,,0.33,low,,,,,,,0.33,trend
Whelming Gustwave (Red),cm-expansion-4477,normal,,2.69,low,,,,,,,2.88,trend
Whelming Gustwave (Yellow),cm-expansion-4477,normal,,0.38,low,,,,,,,0.44,trend
Wounded Bull (Blue),cm-expansion-4477,normal,,0.35,low,,,,,,,0.26,trend
Wounded Bull (Red),cm-expansion-4477,normal,,2.99,low,,,,,,,1.59,trend
Wounded Bull (Yellow),cm-expansion-4477,normal,,0.27,low,,,,,,,0.29,trend
Wounding Blow (Blue),cm-expansion-4477,normal,,0.38,low,,,,,,,0.32,trend
Wounding Blow (Red),cm-expansion-4477,normal,,0.78,low,,,,,,,0.73,trend
Wounding Blow (Yellow),cm-expansion-4477,normal,,0.15,low,,,,,,,0.48,trend
Wrecker Romp (Blue),cm-expansion-4477,normal,,0.88,low,,,,,,,2.2,trend
Wrecker Romp (Red),cm-expansion-4477,normal,,0.69,low,,,,,,,0.9,trend
Wrecker Romp (Yellow),cm-expansion-4477,normal,,0.37,low,,,,,,,0.62,trend
Anothos,cm-expansion-4478,normal,,2.99,low,,,,,,,4.99,trend
Barraging Brawnhide (Blue),cm-expansion-4478,normal,,0.29,low,,,,,,,,
Blessing of Deliverance (Blue),cm-expansion-4478,normal,,0.38,low,,,,,,,,
Bravo,cm-expansion-4478,normal,,7.99,low,,,,,,,,
"Bravo, Showstopper",cm-expansion-4478,normal,,1.93,low,,,,,,,4.99,trend
Buckling Blow (Blue),cm-expansion-4478,normal,,0.18,low,,,,,,,4.99,trend
Buckling Blow (Red),cm-expansion-4478,normal,,0.58,low,,,,,,,,
Cartilage Crush (Blue),cm-expansion-4478,normal,,0.58,low,,,,,,,,
Cartilage Crush (Red),cm-expansion-4478,normal,,0.23,low,,,,,,,,
Crush Confidence (Blue),cm-expansion-4478,normal,,0.18,low,,,,,,,,
Debilitate (Red),cm-expansion-4478,normal,,0.23,low,,,,,,,,
Debilitate (Yellow),cm-expansion-4478,normal,,0.59,low,,,,,,,,
Disable (Blue),cm-expansion-4478,normal,,0.59,low,,,,,,,0.5,trend
Disable (Red),cm-expansion-4478,normal,,1000,low,,,,,,,,
Drone of Brutality (Blue),cm-expansion-4478,normal,,1.93,low,,,,,,,,
Emerging Power (Red),cm-expansion-4478,normal,,0.28,low,,,,,,,,
Emerging Power (Yellow),cm-expansion-4478,normal,,0.99,low,,,,,,,,
Goliath Gauntlet,cm-expansion-4478,normal,,1.93,low,,,,,,,,
Helm of Isen's Peak,cm-expansion-4478,normal,,39.5,low,,,,,,,,
Ironrot Legs,cm-expansion-4478,normal,,39.5,low,,,,,,,,
Ironrot Plate,cm-expansion-4478,normal,,1000,low,,,,,,,,
Potion of Strength,cm-expansion-4478,normal,,0.68,low,,,,,,,,
Pummel (Blue),cm-expansion-4478,normal,,6.24,low,,,,,,,,
Raging Onslaught (Blue),cm-expansion-4478,normal,,0.18,low,,,,,,,,
Sloggism (Blue),cm-expansion-4478,normal,,0.28,low,,,,,,,,
Springboard Somersault,cm-expansion-4478,normal,,0.38,low,,,,,,,0.38,trend
Staunch Response (Blue),cm-expansion-4478,normal,,0.59,low,,,,,,,,
Stonewall Confidence (Blue),cm-expansion-4478,normal,,0.58,low,,,,,,,,
Wounded Bull (Blue),cm-expansion-4478,normal,,0.38,low,,,,,,,,
Alpha Rampage,cm-expansion-4479,normal,,0.2,low,,,,,,,1.16,trend
Ancestral Empowerment,cm-expansion-4479,normal,,7,low,,,,,,,8.41,trend
Anothos // Dorinthea Ironsong,cm-expansion-4479,normal,,0.02,low,,,,,,,0.13,trend
Anothos // Harmonized Kodachi,cm-expansion-4479,normal,,0.02,low,,,,,,,0.14,trend
Anothos // Katsu,cm-expansion-4479,normal,,0.02,low,,,,,,,0.17,trend
Anothos // Quicken,cm-expansion-4479,normal,,0.02,low,,,,,,,0.2,trend
Awakening Bellow (Blue),cm-expansion-4479,normal,,0.02,low,,,,,,,0.04,trend
Awakening Bellow (Red),cm-expansion-4479,normal,,0.02,low,,,,,,,0.04,trend
Awakening Bellow (Yellow),cm-expansion-4479,normal,,0.02,low,,,,,,,0.04,trend
Barkbone Strapping,cm-expansion-4479,normal,,0.02,low,,,,,,,0.14,trend
Barraging Beatdown (Blue),cm-expansion-4479,normal,,0.02,low,,,,,,,0.22,trend
Barraging Beatdown (Red),cm-expansion-4479,normal,,0.02,low,,,,,,,0.24,trend
Barraging Beatdown (Yellow),cm-expansion-4479,normal,,0.02,low,,,,,,,0.21,trend
Barraging Brawnhide (Blue),cm-expansion-4479,normal,,0.02,low,,,,,,,0.05,trend
Barraging Brawnhide (Red),cm-expansion-4479,normal,,0.02,low,,,,,,,0.16,trend
Barraging Brawnhide (Yellow),cm-expansion-4479,normal,,0.02,low,,,,,,,0.03,trend
Biting Blade (Blue),cm-expansion-4479,normal,,0.02,low,,,,,,,0.13,trend
Biting Blade (Red),cm-expansion-4479,normal,,0.02,low,,,,,,,0.07,trend
Biting Blade (Yellow),cm-expansion-4479,normal,,0.02,low,,,,,,,0.09,trend
Blackout Kick (Blue),cm-expansion-4479,normal,,0.02,low,,,,,,,0.23,trend
Blackout Kick (Red),cm-expansion-4479,normal,,0.02,low,,,,,,,0.24,trend
Blackout Kick (Yellow),cm-expansion-4479,normal,,0.02,low,,,,,,,0.05,trend
Blessing of Deliverance (Blue),cm-expansion-4479,normal,,0.02,low,,,,,,,0.13,trend
Blessing of Deliverance (Red),cm-expansion-4479,normal,,0.02,low,,,,,,,0.13,trend
Blessing of Deliverance (Yellow),cm-expansion-4479,normal,,0.02,low,,,,,,,0.06,trend
Bloodrush Bellow,cm-expansion-4479,normal,,2.5,low,,,,,,,3.77,trend
Bone Head Barrier,cm-expansion-4479,normal,,0.02,low,,,,,,,0.35,trend
Braveforge Bracers,cm-expansion-4479,normal,,24,low,,,,,,,28.59,trend
Bravo // Harmonized Kodachi,cm-expansion-4479,normal,,0.02,low,,,,,,,0.11,trend
Bravo // Katsu,cm-expansion-4479,normal,,0.02,low,,,,,,,0.09,trend
"Bravo, Showstopper // Bravo",cm-expansion-4479,normal,,0.02,low,,,,,,,0.17,trend
"Bravo, Showstopper // Dawnblade",cm-expansion-4479,normal,,0.02,low,,,,,,,0.09,trend
Breaking Scales,cm-expansion-4479,normal,,0.02,low,,,,,,,0.16,trend
Breakneck Battery (Blue),cm-expansion-4479,normal,,0.02,low,,,,,,,0.09,trend
Breakneck Battery (Red),cm-expansion-4479,normal,,0.02,low,,,,,,,0.15,trend
Breakneck Battery (Yellow),cm-expansion-4479,normal,,0.02,low,,,,,,,0.14,trend
Buckling Blow (Blue),cm-expansion-4479,normal,,0.02,low,,,,,,,0.14,trend
Buckling Blow (Red),cm-expansion-4479,normal,,0.02,low,,,,,,,0.06,trend
Buckling Blow (Yellow),cm-expansion-4479,normal,,0.02,low,,,,,,,0.06,trend
Cartilage Crush (Blue),cm-expansion-4479,normal,,0.02,low,,,,,,,0.05,trend
Cartilage Crush (Red),cm-expansion-4479,normal,,0.02,low,,,,,,,0.15,trend
Cartilage Crush (Yellow),cm-expansion-4479,normal,,0.02,low,,,,,,,0.06,trend
Cracked Bauble,cm-expansion-4479,normal,,0.02,low,,,,,,,0.07,trend
Cranial Crush,cm-expansion-4479,normal,,1.33,low,,,,,,,3.21,trend
Crazy Brew,cm-expansion-4479,normal,,0.05,low,,,,,,,0.19,trend
Crippling Crush,cm-expansion-4479,normal,,0.3,low,,,,,,,0.78,trend
Crush Confidence (Blue),cm-expansion-4479,normal,,0.02,low,,,,,,,0.07,trend
Crush Confidence (Red),cm-expansion-4479,normal,,0.02,low,,,,,,,0.1,trend
Crush Confidence (Yellow),cm-expansion-4479,normal,,0.02,low,,,,,,,0.04,trend
Dawnblade // Quicken,cm-expansion-4479,normal,,0.02,low,,,,,,,0.11,trend
Debilitate (Blue),cm-expansion-4479,normal,,0.02,low,,,,,,,0.09,trend
Debilitate (Red),cm-expansion-4479,normal,,0.02,low,,,,,,,0.14,trend
Debilitate (Yellow),cm-expansion-4479,normal,,0.02,low,,,,,,,0.03,trend
Demolition Crew (Blue),cm-expansion-4479,normal,,0.02,low,,,,,,,0.04,trend
Demolition Crew (Red),cm-expansion-4479,normal,,0.02,low,,,,,,,0.09,trend
Demolition Crew (Yellow),cm-expansion-4479,normal,,0.02,low,,,,,,,0.06,trend
Disable (Blue),cm-expansion-4479,normal,,0.02,low,,,,,,,0.23,trend
Disable (Red),cm-expansion-4479,normal,,0.02,low,,,,,,,0.14,trend
Disable (Yellow),cm-expansion-4479,normal,,0.02,low,,,,,,,0.08,trend
Dorinthea Ironsong // Dorinthea,cm-expansion-4479,normal,,0.03,low,,,,,,,0.13,trend
Driving Blade (Blue),cm-expansion-4479,normal,,0.02,low,,,,,,,0.11,trend
Driving Blade (Red),cm-expansion-4479,normal,,0.02,low,,,,,,,0.13,trend
Driving Blade (Yellow),cm-expansion-4479,normal,,0.02,low,,,,,,,0.09,trend
Drone of Brutality (Blue),cm-expansion-4479,normal,,0.15,low,,,,,,,0.69,trend
Drone of Brutality (Red),cm-expansion-4479,normal,,0.2,low,,,,,,,0.93,trend
Drone of Brutality (Yellow),cm-expansion-4479,normal,,0.02,low,,,,,,,0.31,trend
Emerging Power (Blue),cm-expansion-4479,normal,,0.02,low,,,,,,,0.05,trend
Emerging Power (Red),cm-expansion-4479,normal,,0.02,low,,,,,,,0.03,trend
Emerging Power (Yellow),cm-expansion-4479,normal,,0.02,low,,,,,,,0.04,trend
Energy Potion,cm-expansion-4479,normal,,0.19,low,,,,,,,1.27,trend
Enlightened Strike,cm-expansion-4479,normal,,24,low,,,,,,,26.84,trend
Flic Flak (Blue),cm-expansion-4479,normal,,0.02,low,,,,,,,0.09,trend
Flic Flak (Red),cm-expansion-4479,normal,,0.02,low,,,,,,,0.31,trend
Flic Flak (Yellow),cm-expansion-4479,normal,,0.02,low,,,,,,,0.09,trend
Flock of the Feather Walkers (Blue),cm-expansion-4479,normal,,0.02,low,,,,,,,0.05,trend
Flock of the Feather Walkers (Red),cm-expansion-4479,normal,,0.02,low,,,,,,,0.02,trend
Flock of the Feather Walkers (Yellow),cm-expansion-4479,normal,,0.02,low,,,,,,,0.03,trend
Fluster Fist (Blue),cm-expansion-4479,normal,,0.02,low,,,,,,,0.56,trend
Fluster Fist (Red),cm-expansion-4479,normal,,0.02,low,,,,,,,0.46,trend
Fluster Fist (Yellow),cm-expansion-4479,normal,,0.02,low,,,,,,,0.15,trend
Forged for War,cm-expansion-4479,normal,,0.02,low,,,,,,,0.21,trend
Fyendal's Spring Tunic,cm-expansion-4479,normal,,134,low,,,,,,,134.69,trend
Glint the Quicksilver,cm-expansion-4479,normal,,4,low,,,,,,,5.18,trend
Goliath Gauntlet,cm-expansion-4479,normal,,0.02,low,,,,,,,0.13,trend
Harmonized Kodachi // Dorinthea,cm-expansion-4479,normal,,0.02,low,,,,,,,0.13,trend
Harmonized Kodachi // Quicken,cm-expansion-4479,normal,,0.02,low,,,,,,,0.11,trend
Head Jab (Blue),cm-expansion-4479,normal,,0.02,low,,,,,,,0.07,trend
Head Jab (Red),cm-expansion-4479,normal,,0.02,low,,,,,,,0.14,trend
Head Jab (Yellow),cm-expansion-4479,normal,,0.02,low,,,,,,,0.06,trend
Heart of Fyendal,cm-expansion-4479,normal,,220,low,,,,,,,220.22,trend
Heartened Cross Strap,cm-expansion-4479,normal,,0.02,low,,,,,,,0.17,trend
Helm of Isen's Peak,cm-expansion-4479,normal,,0.02,low,,,,,,,0.16,trend
Hope Merchant's Hood,cm-expansion-4479,normal,,0.02,low,,,,,,,0.18,trend
Hurricane Technique,cm-expansion-4479,normal,,0.05,low,,,,,,,0.39,trend
Ironrot Gauntlet,cm-expansion-4479,normal,,0.02,low,,,,,,,0.09,trend
Ironrot Helm,cm-expansion-4479,normal,,0.02,low,,,,,,,0.11,trend
Ironrot Legs,cm-expansion-4479,normal,,0.02,low,,,,,,,0.07,trend
Ironrot Plate,cm-expansion-4479,normal,,0.02,low,,,,,,,0.07,trend
Ironsong Determination,cm-expansion-4479,normal,,0.75,low,,,,,,,1.57,trend
Ironsong Response (Blue),cm-expansion-4479,normal,,0.02,low,,,,,,,0.15,trend
Ironsong Response (Red),cm-expansion-4479,normal,,0.02,low,,,,,,,0.24,trend
Ironsong Response (Yellow),cm-expansion-4479,normal,,0.02,low,,,,,,,0.11,trend
Katsu // Harmonized Kodachi,cm-expansion-4479,normal,,0.02,low,,,,,,,0.25,trend
"Katsu, the Wanderer // Katsu",cm-expansion-4479,normal,,0.03,low,,,,,,,0.1,trend
Last Ditch Effort,cm-expansion-4479,normal,,0.09,low,,,,,,,0.59,trend
Leg Tap (Blue),cm-expansion-4479,normal,,0.02,low,,,,,,,0.1,trend
Leg Tap (Red),cm-expansion-4479,normal,,0.02,low,,,,,,,0.1,trend
Leg Tap (Yellow),cm-expansion-4479,normal,,0.02,low,,,,,,,0.04,trend
Lord of Wind,cm-expansion-4479,normal,,0.15,low,,,,,,,0.79,trend
Mask of Momentum,cm-expansion-4479,normal,,63.95,low,,,,,,,65.81,trend
Mugenshi: RELEASE,cm-expansion-4479,normal,,0.03,low,,,,,,,0.64,trend
Nature's Path Pilgrimage (Blue),cm-expansion-4479,normal,,0.02,low,,,,,,,0.03,trend
Nature's Path Pilgrimage (Red),cm-expansion-4479,normal,,0.02,low,,,,,,,0.06,trend
Nature's Path Pilgrimage (Yellow),cm-expansion-4479,normal,,0.02,low,,,,,,,0.05,trend
Nimble Strike (Blue),cm-expansion-4479,normal,,0.02,low,,,,,,,0.03,trend
Nimble Strike (Red),cm-expansion-4479,normal,,0.02,low,,,,,,,0.05,trend
Nimble Strike (Yellow),cm-expansion-4479,normal,,0.02,low,,,,,,,0.04,trend
Nimblism (Blue),cm-expansion-4479,normal,,0.02,low,,,,,,,0.06,trend
Nimblism (Red),cm-expansion-4479,normal,,0.02,low,,,,,,,0.09,trend
Nimblism (Yellow),cm-expansion-4479,normal,,0.02,low,,,,,,,0.06,trend
Open the Center (Blue),cm-expansion-4479,normal,,0.02,low,,,,,,,0.06,trend
Open the Center (Red),cm-expansion-4479,normal,,0.02,low,,,,,,,0.05,trend
Open the Center (Yellow),cm-expansion-4479,normal,,0.02,low,,,,,,,0.04,trend
Overpower (Blue),cm-expansion-4479,normal,,0.02,low,,,,,,,0.56,trend
Overpower (Red),cm-expansion-4479,normal,,0.02,low,,,,,,,0.28,trend
Overpower (Yellow),cm-expansion-4479,normal,,0.02,low,,,,,,,0.15,trend
Pack Hunt (Blue),cm-expansion-4479,normal,,0.02,low,,,,,,,0.02,trend
Pack Hunt (Red),cm-expansion-4479,normal,,0.02,low,,,,,,,0.17,trend
Pack Hunt (Yellow),cm-expansion-4479,normal,,0.02,low,,,,,,,0.03,trend
Potion of Strength,cm-expansion-4479,normal,,0.02,low,,,,,,,0.14,trend
Pounding Gale,cm-expansion-4479,normal,,0.02,low,,,,,,,0.4,trend
Primeval Bellow (Blue),cm-expansion-4479,normal,,0.02,low,,,,,,,0.08,trend
Primeval Bellow (Red),cm-expansion-4479,normal,,0.02,low,,,,,,,0.08,trend
Primeval Bellow (Yellow),cm-expansion-4479,normal,,0.02,low,,,,,,,0.07,trend
Pummel (Blue),cm-expansion-4479,normal,,0.02,low,,,,,,,0.31,trend
Pummel (Red),cm-expansion-4479,normal,,1,low,,,,,,,1.96,trend
Pummel (Yellow),cm-expansion-4479,normal,,0.02,low,,,,,,,0.23,trend
Raging Onslaught (Blue),cm-expansion-4479,normal,,0.02,low,,,,,,,0.08,trend
Raging Onslaught (Red),cm-expansion-4479,normal,,0.02,low,,,,,,,0.17,trend
Raging Onslaught (Yellow),cm-expansion-4479,normal,,0.02,low,,,,,,,0.04,trend
Razor Reflex (Blue),cm-expansion-4479,normal,,0.02,low,,,,,,,0.08,trend
Razor Reflex (Red),cm-expansion-4479,normal,,0.02,low,,,,,,,0.3,trend
Razor Reflex (Yellow),cm-expansion-4479,normal,,0.02,low,,,,,,,0.14,trend
Reckless Swing,cm-expansion-4479,normal,,0.4,low,,,,,,,1.22,trend
Refraction Bolters,cm-expansion-4479,normal,,0.02,low,,,,,,,0.16,trend
Regurgitating Slog (Blue),cm-expansion-4479,normal,,0.02,low,,,,,,,0.06,trend
Regurgitating Slog (Red),cm-expansion-4479,normal,,0.02,low,,,,,,,0.05,trend
Regurgitating Slog (Yellow),cm-expansion-4479,normal,,0.02,low,,,,,,,0.05,trend
Remembrance,cm-expansion-4479,normal,,7.95,low,,,,,,,15.52,trend
Rhinar // Bravo,cm-expansion-4479,normal,,0.02,low,,,,,,,0.07,trend
Rhinar // Dorinthea,cm-expansion-4479,normal,,0.02,low,,,,,,,0.08,trend
Rhinar // Harmonized Kodachi,cm-expansion-4479,normal,,0.02,low,,,,,,,0.02,trend
"Rhinar, Reckless Rampage // Harmonized Kodachi",cm-expansion-4479,normal,,0.02,low,,,,,,,0.11,trend
"Rhinar, Reckless Rampage // Rhinar",cm-expansion-4479,normal,,0.02,low,,,,,,,0.14,trend
Rising Knee Thrust (Blue),cm-expansion-4479,normal,,0.02,low,,,,,,,0.13,trend
Rising Knee Thrust (Red),cm-expansion-4479,normal,,0.02,low,,,,,,,0.11,trend
Rising Knee Thrust (Yellow),cm-expansion-4479,normal,,0.02,low,,,,,,,0.04,trend
Romping Club // Bravo,cm-expansion-4479,normal,,0.02,low,,,,,,,0.16,trend
Romping Club // Dawnblade,cm-expansion-4479,normal,,0.02,low,,,,,,,0.16,trend
"Romping Club // Katsu, the Wanderer",cm-expansion-4479,normal,,0.02,low,,,,,,,0.11,trend
Romping Club // Quicken,cm-expansion-4479,normal,,0.02,low,,,,,,,0.15,trend
Rout,cm-expansion-4479,normal,,0.12,low,,,,,,,0.71,trend
Sand Sketched Plan,cm-expansion-4479,normal,,0.15,low,,,,,,,0.84,trend
Savage Feast (Blue),cm-expansion-4479,normal,,0.02,low,,,,,,,0.12,trend
Savage Feast (Red),cm-expansion-4479,normal,,0.02,low,,,,,,,0.21,trend
Savage Feast (Yellow),cm-expansion-4479,normal,,0.02,low,,,,,,,0.23,trend
Savage Swing (Blue),cm-expansion-4479,normal,,0.02,low,,,,,,,0.07,trend
Savage Swing (Red),cm-expansion-4479,normal,,0.02,low,,,,,,,0.1,trend
Savage Swing (Yellow),cm-expansion-4479,normal,,0.02,low,,,,,,,0.1,trend
Scabskin Leathers,cm-expansion-4479,normal,,32,low,,,,,,,40.78,trend
Scar for a Scar (Blue),cm-expansion-4479,normal,,0.02,low,,,,,,,0.05,trend
Scar for a Scar (Red),cm-expansion-4479,normal,,0.02,low,,,,,,,0.08,trend
Scar for a Scar (Yellow),cm-expansion-4479,normal,,0.02,low,,,,,,,0.08,trend
Scour the Battlescape (Blue),cm-expansion-4479,normal,,0.02,low,,,,,,,0.08,trend
