# currency: USD
Name,Set,Finish,Code,NM,NM Source,SP/LP,SP/LP Source,MP,MP Source,HP,HP Source
Colossal Bearing,Heavy Hitters,foil,HVY062,0.25,listing,,,,,,
Command Respect (Blue),Heavy Hitters,normal,HVY073,0.09,listing,0.11,listing,,,,
Command Respect (Blue),Heavy Hitters,foil,HVY073,0.16,listing,0.1,listing,0.75,listing,,
Command Respect (Red),Heavy Hitters,normal,HVY071,0.09,listing,0.08,listing,0.08,listing,,
Command Respect (Red),Heavy Hitters,foil,HVY071,0.23,listing,0.1,listing,0.35,listing,,
Command Respect (Yellow),Heavy Hitters,normal,HVY072,0.03,listing,0.11,listing,2.61,listing,,
Command Respect (Yellow),Heavy Hitters,foil,HVY072,0.09,listing,0.1,listing,,,,
Commanding Performance,Heavy Hitters,normal,HVY104,2.15,listing,2.18,listing,,,,
Commanding Performance,Heavy Hitters,foil,HVY104,2.95,listing,3.79,listing,3,listing,,
Concuss (Blue),Heavy Hitters,normal,HVY076,0.08,listing,0.12,listing,0.09,listing,,
Concuss (Blue),Heavy Hitters,foil,HVY076,0.25,listing,8.82,listing,,,,
Concuss (Red),Heavy Hitters,normal,HVY074,0.08,listing,0.1,listing,0.11,listing,,
Concuss (Red),Heavy Hitters,foil,HVY074,0.1,listing,0.1,listing,,,,
Concuss (Yellow),Heavy Hitters,normal,HVY075,0.06,listing,0.12,listing,0.04,listing,,
Concuss (Yellow),Heavy Hitters,foil,HVY075,0.13,listing,0.1,listing,0.35,listing,,
Confront Adversity,Heavy Hitters,normal,HVY199,0.01,listing,0.15,listing,,,,
Confront Adversity,Heavy Hitters,foil,HVY199,0.44,listing,0.76,listing,,,,
Cracked Bauble,Heavy Hitters,normal,HVY244,0.1,listing,0.12,listing,,,,
Cut the Deck (Blue),Heavy Hitters,normal,HVY108,0.15,listing,0.15,listing,0.75,listing,,
Cut the Deck (Blue),Heavy Hitters,foil,HVY108,0.22,listing,0.25,listing,,,,
Cut the Deck (Red),Heavy Hitters,normal,HVY106,0.12,listing,0.18,listing,0.75,listing,,
Cut the Deck (Red),Heavy Hitters,foil,HVY106,0.15,listing,5.08,listing,,,,
Cut the Deck (Yellow),Heavy Hitters,normal,HVY107,0.1,listing,0.18,listing,0.15,listing,,
Cut the Deck (Yellow),Heavy Hitters,foil,HVY107,0.15,listing,0.15,listing,0.35,listing,,
Deathmatch Arena,Heavy Hitters,foil,HVY000,60.76,listing,75,listing,,,,
Dissolve Reality,Heavy Hitters,normal,HVY253,2.68,listing,5,listing,,,10,listing
Dissolve Reality,Heavy Hitters,foil,HVY253,4.42,listing,,,,,,
Double Down,Heavy Hitters,normal,HVY176,9.95,listing,1.8,listing,,,,
Double Down,Heavy Hitters,foil,HVY176,10.95,listing,8.08,listing,,,,
Down But Not Out (Blue),Heavy Hitters,normal,HVY215,0.13,listing,0.15,listing,,,,
Down But Not Out (Blue),Heavy Hitters,foil,HVY215,0.2,listing,0.12,listing,,,,
Down But Not Out (Red),Heavy Hitters,normal,HVY213,0.12,listing,0.15,listing,0.35,listing,,
Down But Not Out (Red),Heavy Hitters,foil,HVY213,0.24,listing,0.32,listing,0.35,listing,,
Down But Not Out (Yellow),Heavy Hitters,normal,HVY214,0.1,listing,0.25,listing,,,,
Down But Not Out (Yellow),Heavy Hitters,foil,HVY214,0.2,listing,0.35,listing,0.35,listing,,
Draw Swords (Blue),Heavy Hitters,normal,HVY123,0.05,listing,0.1,listing,,,,
Draw Swords (Blue),Heavy Hitters,foil,HVY123,0.2,listing,0.12,listing,0.35,listing,,
Draw Swords (Red),Heavy Hitters,normal,HVY121,0.07,listing,0.12,listing,,,,
Draw Swords (Red),Heavy Hitters,foil,HVY121,0.15,listing,0.25,listing,0.23,listing,,
Draw Swords (Yellow),Heavy Hitters,normal,HVY122,0.08,listing,0.14,listing,,,,
Draw Swords (Yellow),Heavy Hitters,foil,HVY122,0.05,listing,0.2,listing,0.75,listing,,
Edge Ahead (Blue),Heavy Hitters,normal,HVY126,0.05,listing,0.11,listing,,,,
Edge Ahead (Blue),Heavy Hitters,foil,HVY126,0.05,listing,0.74,listing,0.11,listing,,
Edge Ahead (Red),Heavy Hitters,normal,HVY124,0.06,listing,0.11,listing,,,,
Edge Ahead (Red),Heavy Hitters,foil,HVY124,0.15,listing,0.1,listing,0.13,listing,,
Edge Ahead (Yellow),Heavy Hitters,normal,HVY125,0.04,listing,0.11,listing,,,,
Edge Ahead (Yellow),Heavy Hitters,foil,HVY125,0.09,listing,0.1,listing,0.35,listing,,
Embrace Adversity,Heavy Hitters,normal,HVY200,0.03,listing,0.12,listing,,,,
Embrace Adversity,Heavy Hitters,foil,HVY200,0.25,listing,0.49,listing,,,,
Engaged Swiftblade (Blue),Heavy Hitters,normal,HVY129,0.05,listing,0.08,listing,0.09,listing,,
Engaged Swiftblade (Blue),Heavy Hitters,foil,HVY129,0.15,listing,0.1,listing,0.16,listing,,
Engaged Swiftblade (Red),Heavy Hitters,normal,HVY127,0.05,listing,0.11,listing,,,,
Engaged Swiftblade (Red),Heavy Hitters,foil,HVY127,0.15,listing,0.1,listing,0.35,listing,,
Engaged Swiftblade (Yellow),Heavy Hitters,normal,HVY128,0.08,listing,0.09,listing,,,,
Engaged Swiftblade (Yellow),Heavy Hitters,foil,HVY128,0.1,listing,3.94,listing,0.35,listing,,
Evo Magneto,Heavy Hitters,normal,HVY248,0.15,listing,0.5,listing,1,listing,,
Evo Magneto,Heavy Hitters,foil,HVY248,9.99,listing,9.24,listing,,,5,listing
Face Adversity,Heavy Hitters,normal,HVY198,0.07,listing,0.12,listing,,,,
Face Adversity,Heavy Hitters,foil,HVY198,0.4,listing,,,,,,
Fatal Engagement (Blue),Heavy Hitters,normal,HVY111,0.15,listing,0.42,listing,,,2.93,listing
Fatal Engagement (Blue),Heavy Hitters,foil,HVY111,0.32,listing,0.53,listing,2.28,listing,,
Fatal Engagement (Red),Heavy Hitters,normal,HVY109,0.13,listing,0.18,listing,0.75,listing,,
Fatal Engagement (Red),Heavy Hitters,foil,HVY109,0.2,listing,0.1,listing,0.35,listing,,
Fatal Engagement (Yellow),Heavy Hitters,normal,HVY110,0.09,listing,0.18,listing,0.35,listing,,
Fatal Engagement (Yellow),Heavy Hitters,foil,HVY110,0.15,listing,0.05,listing,0.3,listing,,
Flat Trackers,Heavy Hitters,normal,HVY155,0.03,listing,0.12,listing,,,,
Flat Trackers,Heavy Hitters,foil,HVY155,0.47,listing,,,,,,
Gauntlet of Might,Heavy Hitters,normal,HVY135,0.05,listing,0.12,listing,,,,
Gauntlet of Might,Heavy Hitters,foil,HVY135,0.3,listing,0.89,listing,,,,
Gauntlets of Iron Will,Heavy Hitters,foil,HVY053,18,listing,16.31,listing,,,,
Glory Seeker,Heavy Hitters,normal,HVY196,0.08,listing,0.12,listing,,,,
Glory Seeker,Heavy Hitters,foil,HVY196,19.95,listing,29.89,listing,,,23.99,listing
Goblet of Bloodrun Wine,Heavy Hitters,normal,HVY133,0.06,listing,0.09,listing,,,,
Goblet of Bloodrun Wine,Heavy Hitters,foil,HVY133,0.22,listing,0.1,listing,,,,
Golden Glare,Heavy Hitters,normal,HVY054,0.15,listing,0.2,listing,,,,
Good Time Chapeau,Heavy Hitters,normal,HVY055,0.15,listing,0.25,listing,0.35,listing,2.61,listing
Grains of Bloodspill,Heavy Hitters,foil,HVY097,59.99,listing,85,listing,,,,
Grandstand Legplates,Heavy Hitters,normal,HVY205,0.08,listing,0.12,listing,,,,
Grandstand Legplates,Heavy Hitters,foil,HVY205,0.48,listing,1,listing,,,,
Graven Call,Heavy Hitters,normal,HVY245,4.89,listing,4.29,listing,,,,
Graven Call,Heavy Hitters,foil,HVY245,25,listing,30,listing,,,,
Headliner Helm,Heavy Hitters,normal,HVY202,0.05,listing,0.12,listing,,,,
Headliner Helm,Heavy Hitters,foil,HVY202,0.25,listing,0.75,listing,,,,
Hearty Block,Heavy Hitters,normal,HVY181,0.1,listing,0.18,listing,0.75,listing,,
Hearty Block,Heavy Hitters,foil,HVY181,0.15,listing,0.2,listing,,,2.61,listing
Heavy Hitters Blitz Deck Display,Heavy Hitters,normal,,,,,,,,,
Heavy Hitters Booster Box,Heavy Hitters,normal,,,,,,,,,
Heavy Hitters Booster Box Case,Heavy Hitters,normal,,,,,,,,,
Heavy Hitters Booster Pack,Heavy Hitters,normal,,,,,,,,,
High Riser,Heavy Hitters,foil,HVY049,0.35,listing,0.94,listing,,,,
High Riser // Cintari Saber,Heavy Hitters,normal,,0.05,listing,0.12,listing,,,,
Hold 'em (Blue),Heavy Hitters,normal,HVY132,0.06,listing,0.09,listing,,,,
Hold 'em (Blue),Heavy Hitters,foil,HVY132,0.04,listing,0.25,listing,0.35,listing,2.61,listing
Hold 'em (Red),Heavy Hitters,normal,HVY130,0.08,listing,0.12,listing,,,,
Hold 'em (Red),Heavy Hitters,foil,HVY130,0.18,listing,0.12,listing,0.11,listing,,
Hold 'em (Yellow),Heavy Hitters,normal,HVY131,0.05,listing,0.09,listing,,,,
Hold 'em (Yellow),Heavy Hitters,foil,HVY131,0.15,listing,0.12,listing,0.35,listing,,
Hood of Red Sand,Heavy Hitters,normal,HVY099,0.15,listing,0.25,listing,,,,
Hot Streak,Heavy Hitters,normal,HVY095,0.19,listing,0.55,listing,,,,
Hot Streak,Heavy Hitters,foil,HVY095,3.96,listing,,,,,,
"Judge, Jury, Executioner",Heavy Hitters,normal,HVY249,0.48,listing,2,listing,,,,
"Judge, Jury, Executioner",Heavy Hitters,foil,HVY249,3.45,listing,3.19,listing,8,listing,,
Kassai (Marvel),Heavy Hitters,foil,,31.87,listing,,,,,,
Kassai // Olympia,Heavy Hitters,normal,,0.08,listing,0.12,listing,,,,
Kassai of the Golden Sand,Heavy Hitters,normal,HVY090,0.6,listing,1.64,listing,,,,
Kassai of the Golden Sand (Marvel),Heavy Hitters,foil,,173.43,listing,,,,,,
Kayo (Marvel),Heavy Hitters,foil,,36.68,listing,,,,,,
Kayo // Rhinar,Heavy Hitters,normal,,0.08,listing,0.05,listing,,,,
"Kayo, Armed and Dangerous",Heavy Hitters,normal,HVY001,0.04,listing,0.4,listing,,,,
"Kayo, Armed and Dangerous (Marvel)",Heavy Hitters,foil,,74.95,listing,84.99,listing,,,,
Knucklehead,Heavy Hitters,normal,HVY009,0.15,listing,0.25,listing,0.35,listing,,
Lay Down the Law,Heavy Hitters,normal,HVY063,0.1,listing,0.18,listing,0.35,listing,,
Lay Down the Law,Heavy Hitters,foil,HVY063,0.2,listing,0.1,listing,,,,
Lead with Heart (Blue),Heavy Hitters,normal,HVY194,0.06,listing,0.11,listing,0.06,listing,,
Lead with Heart (Blue),Heavy Hitters,foil,HVY194,0.11,listing,0.1,listing,0.35,listing,,
Lead with Heart (Red),Heavy Hitters,normal,HVY192,0.09,listing,0.12,listing,,,,
Lead with Heart (Red),Heavy Hitters,foil,HVY192,0.15,listing,0.1,listing,0.35,listing,,
Lead with Heart (Yellow),Heavy Hitters,normal,HVY193,0.08,listing,0.09,listing,,,,
Lead with Heart (Yellow),Heavy Hitters,foil,HVY193,0.1,listing,0.12,listing,0.35,listing,,
Lead with Power (Blue),Heavy Hitters,normal,HVY154,0.07,listing,0.11,listing,0.08,listing,,
Lead with Power (Blue),Heavy Hitters,foil,HVY154,0.09,listing,0.12,listing,0.1,listing,,
Lead with Power (Red),Heavy Hitters,normal,HVY152,0.08,listing,0.08,listing,,,,
Lead with Power (Red),Heavy Hitters,foil,HVY152,0.18,listing,0.12,listing,0.12,listing,,
Lead with Power (Yellow),Heavy Hitters,normal,HVY153,0.08,listing,0.08,listing,,,,
Lead with Power (Yellow),Heavy Hitters,foil,HVY153,0.1,listing,0.12,listing,0.16,listing,,
Lead with Speed (Blue),Heavy Hitters,normal,HVY174,0.08,listing,0.12,listing,,,,
Lead with Speed (Blue),Heavy Hitters,foil,HVY174,0.18,listing,0.1,listing,0.14,listing,,
Lead with Speed (Red),Heavy Hitters,normal,HVY172,0.15,listing,0.12,listing,,,0.11,listing
Lead with Speed (Red),Heavy Hitters,foil,HVY172,0.25,listing,0.1,listing,,,,
Lead with Speed (Yellow),Heavy Hitters,normal,HVY173,0.08,listing,0.11,listing,,,,
Lead with Speed (Yellow),Heavy Hitters,foil,HVY173,0.1,listing,0.12,listing,0.35,listing,,
"Luminaris, Angel's Glow",Heavy Hitters,normal,HVY254,0.4,listing,0.39,listing,,,,
"Luminaris, Angel's Glow",Heavy Hitters,foil,HVY254,8,listing,25,listing,,,,
Lunging Press,Heavy Hitters,normal,HVY234,0.09,listing,0.06,listing,0.06,listing,,
Mandible Claw // Cintari Saber,Heavy Hitters,normal,,0.04,listing,0.12,listing,103.38,listing,0.25,listing
Mandible Claw // High Riser,Heavy Hitters,normal,,0.05,listing,0.12,listing,,,,
Might // Vigor,Heavy Hitters,normal,,,,,,,,,
Mighty Windup (Blue),Heavy Hitters,normal,HVY145,,,0.12,listing,,,,
Mighty Windup (Blue),Heavy Hitters,foil,HVY145,0.27,listing,0.1,listing,0.16,listing,,
Mighty Windup (Red),Heavy Hitters,normal,HVY143,0.08,listing,0.09,listing,,,,
Mighty Windup (Red),Heavy Hitters,foil,HVY143,0.2,listing,0.1,listing,0.47,listing,,
Mighty Windup (Yellow),Heavy Hitters,normal,HVY144,0.08,listing,,,0.09,listing,,
Mighty Windup (Yellow),Heavy Hitters,foil,HVY144,0.2,listing,0.1,listing,0.18,listing,,
Miller's Grindstone,Heavy Hitters,normal,HVY050,0.25,listing,0.5,listing,,,,
Miller's Grindstone,Heavy Hitters,foil,HVY050,8.69,listing,,,9.99,listing,,
Mini Meataxe,Heavy Hitters,normal,HVY007,0.15,listing,0.52,listing,0.17,listing,,
Mini Meataxe,Heavy Hitters,foil,HVY007,0.46,listing,,,,,,
Money Where Ya Mouth Is (Blue),Heavy Hitters,normal,HVY237,0.08,listing,0.09,listing,,,,
Money Where Ya Mouth Is (Blue),Heavy Hitters,foil,HVY237,0.08,listing,0.12,listing,0.15,listing,,
Money Where Ya Mouth Is (Red),Heavy Hitters,normal,HVY235,0.08,listing,0.1,listing,,,0.08,listing
Money Where Ya Mouth Is (Red),Heavy Hitters,foil,HVY235,0.25,listing,0.1,listing,0.21,listing,,
Money Where Ya Mouth Is (Yellow),Heavy Hitters,normal,HVY236,0.07,listing,0.1,listing,,,,
Money Where Ya Mouth Is (Yellow),Heavy Hitters,foil,HVY236,0.1,listing,1.14,listing,0.15,listing,,
Monstrous Veil,Heavy Hitters,normal,HVY010,0.15,listing,0.25,listing,0.75,listing,,
Nasty Surprise,Heavy Hitters,normal,HVY207,1.11,listing,1.05,listing,,,3.49,listing
Nasty Surprise,Heavy Hitters,foil,HVY207,2,listing,2.05,listing,,,,
No Fear,Heavy Hitters,normal,HVY016,0.36,listing,0.9,listing,0.95,listing,,
No Fear,Heavy Hitters,foil,HVY016,1.4,listing,1.48,listing,,,,
Olympia (Marvel),Heavy Hitters,foil,,22.37,listing,29.95,listing,,,,
"Olympia, Prized Fighter",Heavy Hitters,normal,HVY092,0.14,listing,0.32,listing,0.52,listing,,
"Olympia, Prized Fighter (Marvel)",Heavy Hitters,foil,,129.95,listing,,,,,,
Over the Top (Blue),Heavy Hitters,normal,HVY067,0.14,listing,0.18,listing,0.35,listing,,
Over the Top (Blue),Heavy Hitters,foil,HVY067,0.15,listing,0.27,listing,0.2,listing,,
Over the Top (Red),Heavy Hitters,normal,HVY065,0.1,listing,0.18,listing,0.35,listing,,
Over the Top (Red),Heavy Hitters,foil,HVY065,0.15,listing,0.48,listing,,,,
Over the Top (Yellow),Heavy Hitters,normal,HVY066,0.15,listing,0.18,listing,0.08,listing,,
Over the Top (Yellow),Heavy Hitters,foil,HVY066,0.2,listing,0.2,listing,0.14,listing,,
Overcome Adversity,Heavy Hitters,normal,HVY201,0.02,listing,0.12,listing,,,,
Overcome Adversity,Heavy Hitters,foil,HVY201,0.33,listing,0.75,listing,,,,
Pack Call (Blue),Heavy Hitters,normal,HVY022,0.14,listing,0.25,listing,0.17,listing,,
Pack Call (Blue),Heavy Hitters,foil,HVY022,0.35,listing,0.25,listing,0.55,listing,,
Pack Call (Red),Heavy Hitters,normal,HVY020,0.15,listing,0.18,listing,,,2.93,listing
Pack Call (Red),Heavy Hitters,foil,HVY020,0.2,listing,0.25,listing,,,,
Pack Call (Yellow),Heavy Hitters,normal,HVY021,0.1,listing,0.18,listing,0.75,listing,,
Pack Call (Yellow),Heavy Hitters,foil,HVY021,0.23,listing,11649.09,listing,,,,
Pack Hunt (Blue),Heavy Hitters,normal,HVY034,0.06,listing,0.09,listing,,,,
Pack Hunt (Red),Heavy Hitters,normal,HVY032,0.08,listing,0.12,listing,,,,
Pack Hunt (Yellow),Heavy Hitters,normal,HVY033,0.02,listing,0.12,listing,,,,
Parry Blade,Heavy Hitters,normal,HVY096,0.15,listing,0.25,listing,0.08,listing,,
Parry Blade,Heavy Hitters,foil,HVY096,0.99,listing,1,listing,,,,
Pay Up,Heavy Hitters,normal,HVY208,0.45,listing,0.5,listing,3,listing,1.25,listing
Pay Up,Heavy Hitters,foil,HVY208,2.39,listing,1.81,listing,,,,
Performance Bonus (Blue),Heavy Hitters,normal,HVY227,0.1,listing,0.12,listing,,,,
Performance Bonus (Blue),Heavy Hitters,foil,HVY227,0.16,listing,0.1,listing,,,,
Performance Bonus (Red),Heavy Hitters,normal,HVY225,0.07,listing,0.08,listing,0.09,listing,0.07,listing
Performance Bonus (Red),Heavy Hitters,foil,HVY225,0.23,listing,0.1,listing,0.21,listing,,
Performance Bonus (Yellow),Heavy Hitters,normal,HVY226,0.08,listing,0.12,listing,0.06,listing,,
Performance Bonus (Yellow),Heavy Hitters,foil,HVY226,0.13,listing,0.38,listing,0.14,listing,,
Pint of Strong and Stout,Heavy Hitters,normal,HVY089,0.1,listing,0.08,listing,2.61,listing,,
Pint of Strong and Stout,Heavy Hitters,foil,HVY089,0.15,listing,0.2,listing,0.35,listing,,
Pound Town (Blue),Heavy Hitters,normal,HVY037,0.08,listing,0.12,listing,,,,
Pound Town (Blue),Heavy Hitters,foil,HVY037,0.14,listing,0.1,listing,0.2,listing,,
Pound Town (Red),Heavy Hitters,normal,HVY035,0.07,listing,0.07,listing,,,,
Pound Town (Red),Heavy Hitters,foil,HVY035,0.15,listing,0.1,listing,,,2.61,listing
Pound Town (Yellow),Heavy Hitters,normal,HVY036,0.04,listing,0.08,listing,,,,
Pound Town (Yellow),Heavy Hitters,foil,HVY036,0.15,listing,0.25,listing,0.26,listing,,
Primed to Fight,Heavy Hitters,normal,HVY058,0.25,listing,0.53,listing,,,,
Primed to Fight,Heavy Hitters,foil,HVY058,0.88,listing,3.93,listing,2.49,listing,,
Prized Galea,Heavy Hitters,normal,HVY098,0.15,listing,1.6,listing,0.17,listing,,
Raise an Army,Heavy Hitters,normal,HVY105,2.19,listing,4.25,listing,,,,
Raise an Army,Heavy Hitters,foil,HVY105,5.19,listing,5.91,listing,,,,
Rally the Rearguard (Blue),Heavy Hitters,normal,HVY230,0.05,listing,0.09,listing,,,,
Rally the Rearguard (Red),Heavy Hitters,normal,HVY228,0.07,listing,0.09,listing,,,,
Rally the Rearguard (Yellow),Heavy Hitters,normal,HVY229,0.05,listing,0.11,listing,0.06,listing,,
Raw Meat,Heavy Hitters,normal,HVY011,0.04,listing,0.12,listing,,,,
Raw Meat,Heavy Hitters,foil,HVY011,0.4,listing,0.75,listing,,,,
Rawhide Rumble (Blue),Heavy Hitters,normal,HVY025,0.09,listing,0.18,listing,0.35,listing,,
Rawhide Rumble (Blue),Heavy Hitters,foil,HVY025,0.18,listing,0.1,listing,1.97,listing,,
Rawhide Rumble (Red),Heavy Hitters,normal,HVY023,0.14,listing,0.25,listing,0.35,listing,,
Rawhide Rumble (Red),Heavy Hitters,foil,HVY023,0.25,listing,0.96,listing,,,,
Rawhide Rumble (Yellow),Heavy Hitters,normal,HVY024,0.07,listing,0.21,listing,0.35,listing,,
Rawhide Rumble (Yellow),Heavy Hitters,foil,HVY024,0.12,listing,0.2,listing,0.11,listing,,
Reckless Charge,Heavy Hitters,normal,HVY015,0.2,listing,0.37,listing,0.52,listing,,
Reckless Charge,Heavy Hitters,foil,HVY015,0.4,listing,0.44,listing,,,,
Reel In,Heavy Hitters,normal,HVY250,0.59,listing,0.74,listing,,,,
Reel In,Heavy Hitters,foil,HVY250,0.5,listing,1,listing,,,,
Reinforce the Line (Blue),Heavy Hitters,normal,HVY221,0.1,listing,0.15,listing,0.35,listing,,
Reinforce the Line (Red),Heavy Hitters,normal,HVY219,0.25,listing,0.25,listing,,,,
Reinforce the Line (Yellow),Heavy Hitters,normal,HVY220,0.14,listing,0.18,listing,0.35,listing,,
"Rhinar, Reckless Rampage",Heavy Hitters,normal,HVY003,1.43,listing,1.22,listing,,,,
Ripple Away,Heavy Hitters,normal,HVY209,35,listing,35,listing,,,,
Ripple Away,Heavy Hitters,foil,HVY209,38.01,listing,,,,,,
Rising Energy (Blue),Heavy Hitters,normal,HVY185,0.03,listing,0.04,listing,,,,
Rising Energy (Blue),Heavy Hitters,foil,HVY185,0.14,listing,0.1,listing,0.1,listing,,
Rising Energy (Red),Heavy Hitters,normal,HVY183,0.03,listing,0.09,listing,,,,
Rising Energy (Red),Heavy Hitters,foil,HVY183,0.15,listing,0.1,listing,0.35,listing,,
Rising Energy (Yellow),Heavy Hitters,normal,HVY184,0.05,listing,0.09,listing,0.11,listing,,
Rising Energy (Yellow),Heavy Hitters,foil,HVY184,0.05,listing,0.25,listing,0.35,listing,,
Rising Power (Blue),Heavy Hitters,normal,HVY148,0.05,listing,0.11,listing,,,,
Rising Power (Blue),Heavy Hitters,foil,HVY148,0.05,listing,0.1,listing,0.35,listing,,
Rising Power (Red),Heavy Hitters,normal,HVY146,0.06,listing,0.12,listing,,,,
Rising Power (Red),Heavy Hitters,foil,HVY146,0.1,listing,0.48,listing,0.35,listing,,
Rising Power (Yellow),Heavy Hitters,normal,HVY147,0.06,listing,0.12,listing,,,,
Rising Power (Yellow),Heavy Hitters,foil,HVY147,0.08,listing,0.1,listing,1.97,listing,,
Rising Speed (Blue),Heavy Hitters,normal,HVY168,0.03,listing,0.09,listing,,,,
Rising Speed (Blue),Heavy Hitters,foil,HVY168,0.15,listing,0.28,listing,0.1,listing,,
Rising Speed (Red),Heavy Hitters,normal,HVY166,,,0.09,listing,,,,
Rising Speed (Red),Heavy Hitters,foil,HVY166,0.15,listing,0.25,listing,0.35,listing,,
Rising Speed (Yellow),Heavy Hitters,normal,HVY167,0.04,listing,0.09,listing,,,,
Rising Speed (Yellow),Heavy Hitters,foil,HVY167,0.15,listing,0.37,listing,0.35,listing,,
Run into Trouble,Heavy Hitters,normal,HVY161,0.09,listing,0.18,listing,0.06,listing,,
Run into Trouble,Heavy Hitters,foil,HVY161,0.2,listing,0.2,listing,0.1,listing,,
Runner Runner,Heavy Hitters,normal,HVY156,1.54,listing,1.9,listing,,,,
Runner Runner,Heavy Hitters,foil,HVY156,3.75,listing,3.69,listing,,,,
Seduce Secrets,Heavy Hitters,normal,HVY212,2.05,listing,2.99,listing,,,,
Seduce Secrets,Heavy Hitters,foil,HVY212,1.25,listing,1.99,listing,,,,
Send Packing,Heavy Hitters,normal,HVY012,17.89,listing,18.25,listing,18.78,listing,,
Send Packing,Heavy Hitters,foil,HVY012,20.48,listing,25.7,listing,,,,
Sheltered Cove,Heavy Hitters,normal,HVY197,0.06,listing,0.12,listing,,,,
Sheltered Cove,Heavy Hitters,foil,HVY197,0.33,listing,0.63,listing,,,,
Shift the Tide of Battle,Heavy Hitters,normal,HVY102,1,listing,3.48,listing,1.35,listing,,
Shift the Tide of Battle,Heavy Hitters,foil,HVY102,2.76,listing,,,,,,
Show No Mercy,Heavy Hitters,normal,HVY013,0.46,listing,1,listing,0.76,listing,,
Show No Mercy,Heavy Hitters,foil,HVY013,0.65,listing,1,listing,5.46,listing,,
Slap-Happy,Heavy Hitters,normal,HVY180,0.15,listing,0.25,listing,,,,
Slap-Happy,Heavy Hitters,foil,HVY180,0.3,listing,8.87,listing,,,,
Smack of Reality,Heavy Hitters,normal,HVY064,0.15,listing,0.25,listing,,,,
Smack of Reality,Heavy Hitters,foil,HVY064,0.58,listing,0.26,listing,,,,
Smashback Alehorn,Heavy Hitters,normal,HVY044,0.1,listing,0.12,listing,0.11,listing,,
Smashback Alehorn,Heavy Hitters,foil,HVY044,0.2,listing,0.12,listing,,,,
Sonata Galaxia,Heavy Hitters,normal,HVY251,20,listing,20,listing,,,,
Sonata Galaxia,Heavy Hitters,foil,HVY251,25.48,listing,7.71,listing,,,,
Stacked in Your Favor (Blue),Heavy Hitters,normal,HVY070,0.09,listing,0.18,listing,0.35,listing,2.93,listing
Stacked in Your Favor (Blue),Heavy Hitters,foil,HVY070,0.15,listing,0.25,listing,0.22,listing,,
Stacked in Your Favor (Red),Heavy Hitters,normal,HVY068,0.07,listing,0.18,listing,0.1,listing,,
Stacked in Your Favor (Red),Heavy Hitters,foil,HVY068,0.25,listing,0.25,listing,0.18,listing,,
Stacked in Your Favor (Yellow),Heavy Hitters,normal,HVY069,0.1,listing,0.07,listing,0.06,listing,,
Stacked in Your Favor (Yellow),Heavy Hitters,foil,HVY069,0.07,listing,0.35,listing,0.1,listing,,
Stadium Centerpiece,Heavy Hitters,normal,HVY203,0.06,listing,0.12,listing,,,,
Stadium Centerpiece,Heavy Hitters,foil,HVY203,0.23,listing,0.39,listing,,,,
Stand Ground,Heavy Hitters,normal,HVY056,0.06,listing,0.12,listing,,,,
Stand Ground,Heavy Hitters,foil,HVY056,0.44,listing,0.5,listing,,,,
Standing Order,Heavy Hitters,normal,HVY210,1.5,listing,3,listing,,,,
Standing Order,Heavy Hitters,foil,HVY210,3.62,listing,3.59,listing,3.59,listing,,
Starting Stake,Heavy Hitters,normal,HVY238,0.07,listing,0.08,listing,,,,
Starting Stake,Heavy Hitters,foil,HVY238,0.15,listing,0.1,listing,0.35,listing,,
Stonewall Impasse,Heavy Hitters,normal,HVY052,0.15,listing,0.35,listing,0.11,listing,,
Stonewall Impasse,Heavy Hitters,foil,HVY052,0.45,listing,0.56,listing,,,,
Take it on the Chin,Heavy Hitters,normal,HVY160,2.14,listing,9.95,listing,,,,
Take it on the Chin,Heavy Hitters,foil,HVY160,2.98,listing,2.28,listing,,,,
Take the Upper Hand (Blue),Heavy Hitters,normal,HVY114,0.14,listing,0.18,listing,0.35,listing,2.93,listing
Take the Upper Hand (Blue),Heavy Hitters,foil,HVY114,0.15,listing,3.01,listing,,,,
Take the Upper Hand (Red),Heavy Hitters,normal,HVY112,0.13,listing,0.18,listing,0.75,listing,,
Take the Upper Hand (Red),Heavy Hitters,foil,HVY112,0.25,listing,0.1,listing,,,,
Take the Upper Hand (Yellow),Heavy Hitters,normal,HVY113,0.1,listing,0.18,listing,0.75,listing,,
Take the Upper Hand (Yellow),Heavy Hitters,foil,HVY113,0.18,listing,1.83,listing,1.97,listing,,
Talk a Big Game,Heavy Hitters,normal,HVY136,12.99,listing,20,listing,,,,
Talk a Big Game,Heavy Hitters,foil,HVY136,13.78,listing,17.95,listing,,,,
Tenacity,Heavy Hitters,normal,HVY211,2.73,listing,3.17,listing,3.69,listing,,
Tenacity,Heavy Hitters,foil,HVY211,3.94,listing,3.8,listing,,,,
Test of Agility,Heavy Hitters,normal,HVY162,0.12,listing,0.1,listing,2.28,listing,2.93,listing
Test of Agility,Heavy Hitters,foil,HVY162,0.23,listing,0.25,listing,,,,
Test of Might,Heavy Hitters,normal,HVY141,0.15,listing,0.35,listing,0.75,listing,,
Test of Might,Heavy Hitters,foil,HVY141,0.25,listing,1.5,listing,,,,
